Date,Description,Debit,Credit,Balance
01-01-2025,"Opening Balance",,,"50,000.00"
02-01-2025,"NEFT CR-SALARY TATA CONSULTANCY",,"75,000.00","1,25,000.00"
03-01-2025,"UPI-GROFERS ONLINE-9876543210","1,250.00",,"1,23,750.00"
04-01-2025,"EMI HDFC HOME LOAN-7891011","42,500.00",,"81,250.00"
05-01-2025,"IMPS-AIRTEL PAYMENTS BANK-MOBILE RECHARGE","499.00",,"80,751.00"
06-01-2025,"UPI-SWIGGY FOOD ORDER-9988776655","850.00",,"79,901.00"
08-01-2025,"ATM WDL-HDFC ATM CONNAUGHT PLACE","5,000.00",,"74,901.00"
10-01-2025,"SIP MUTUAL FUND-HDFC EQUITY FUND","10,000.00",,"64,901.00"
12-01-2025,"UPI-BIG BASKET-GROCERY SHOPPING","2,150.00",,"62,751.00"
15-01-2025,"INSURANCE PREMIUM-LIC POLICY 123456789","8,500.00",,"54,251.00"
16-01-2025,"UPI-AMAZON PAY-ONLINE SHOPPING","3,200.00",,"51,051.00"
18-01-2025,"RTGS CR-DIVIDEND RELIANCE INDUSTRIES",,"2,500.00","53,551.00"
20-01-2025,"UPI-UBER TRIP-CAB FARE","320.00",,"53,231.00"
22-01-2025,"ELECTRICITY BILL-BSES RAJDHANI","1,850.00",,"51,381.00"
24-01-2025,"UPI-PAYTM-DTH RECHARGE","500.00",,"50,881.00"
25-01-2025,"RENT PAYMENT-LANDLORD KUMAR SINGH","25,000.00",,"25,881.00"
26-01-2025,"UPI-ZOMATO FOOD DELIVERY","750.00",,"25,131.00"
28-01-2025,"MEDICAL INSURANCE PREMIUM-STAR HEALTH","12,000.00",,"13,131.00"
30-01-2025,"UPI-SPOTIFY PREMIUM SUBSCRIPTION","149.00",,"12,982.00"
31-01-2025,"BANK CHARGES-QUARTERLY MAINTENANCE","350.00",,"12,632.00"
02-02-2025,"NEFT CR-SALARY TATA CONSULTANCY",,"75,000.00","87,632.00"
03-02-2025,"UPI-FLIPKART SHOPPING-ELECTRONICS","15,500.00",,"72,132.00"
05-02-2025,"EMI HDFC HOME LOAN-7891011","42,500.00",,"29,632.00"
06-02-2025,"SIP MUTUAL FUND-ICICI BLUECHIP FUND","5,000.00",,"24,632.00"
08-02-2025,"UPI-PETROL PUMP-SHELL FUEL","3,500.00",,"21,132.00"
10-02-2025,"RTGS CR-FREELANCE PROJECT PAYMENT",,"25,000.00","46,132.00"
12-02-2025,"UPI-BOOKMYSHOW-MOVIE TICKETS","800.00",,"45,332.00"
14-02-2025,"VALENTINE GIFT-JEWELRY PURCHASE","8,000.00",,"37,332.00"
15-02-2025,"GAS CYLINDER-BHARAT GAS","950.00",,"36,382.00"
16-02-2025,"UPI-DOMINOS PIZZA ORDER","1,200.00",,"35,182.00"
18-02-2025,"PPF CONTRIBUTION-SBI PPF ACCOUNT","15,000.00",,"20,182.00"
20-02-2025,"UPI-MYNTRA FASHION SHOPPING","4,500.00",,"15,682.00"
22-02-2025,"INSURANCE PREMIUM-HDFC ERGO HEALTH","6,500.00",,"9,182.00"
25-02-2025,"RENT PAYMENT-LANDLORD KUMAR SINGH","25,000.00",,"15,818.00"
26-02-2025,"RTGS CR-TAX REFUND INCOME TAX DEPT",,"18,500.00","34,318.00"
28-02-2025,"UPI-BIGBASKET MONTHLY GROCERIES","3,200.00",,"31,118.00"
01-03-2025,"IMPS-VODAFONE POSTPAID BILL","1,200.00",,"29,918.00"
02-03-2025,"NEFT CR-SALARY TATA CONSULTANCY",,"75,000.00","1,04,918.00"
03-03-2025,"FIXED DEPOSIT MATURITY-SBI FD 5678901",,"1,20,000.00","2,24,918.00"
05-03-2025,"EMI HDFC HOME LOAN-7891011","42,500.00",,"1,82,418.00"
06-03-2025,"UPI-CAR SERVICE-MARUTI SUZUKI","8,500.00",,"1,73,918.00"
08-03-2025,"MUTUAL FUND SIP-HDFC EQUITY FUND","10,000.00",,"1,63,918.00"
10-03-2025,"UPI-AMAZON PRIME ANNUAL SUBSCRIPTION","1,499.00",,"1,62,419.00"
12-03-2025,"ELSS INVESTMENT-TAX SAVING FUND","50,000.00",,"1,12,419.00"
15-03-2025,"UPI-RESTAURANT BILL-PUNJAB GRILL","2,500.00",,"1,09,919.00"
18-03-2025,"INSURANCE PREMIUM-LIC POLICY 123456789","8,500.00",,"1,01,419.00"
20-03-2025,"UPI-TRAVEL BOOKING-MAKEMYTRIP","12,000.00",,"89,419.00"
22-03-2025,"DIVIDEND CREDIT-HDFC BANK",,"3,200.00","92,619.00"
25-03-2025,"RENT PAYMENT-LANDLORD KUMAR SINGH","25,000.00",,"67,619.00"
28-03-2025,"QUARTERLY BONUS-TCS HR DEPT",,"15,000.00","82,619.00"
30-03-2025,"UPI-GROFERS MONTHLY SHOPPING","2,800.00",,"79,819.00"
31-03-2025,"YEAR END BANK CHARGES","500.00",,"79,319.00"
